svs_file,y,split,pair_id,animal_id,label,COMPOUND_NAME,dose_level,dose_truncated,DOSE,DOSE_UNIT,SACRIFICE_PERIOD,sacrifice_hours,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE_week,n_findings,n_findings_drug,n_findings_spont,max_grade,findings,topographies,grades,sp_flags,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,CAPTURE_NO,url,FILE_LOCATION,dup_grade_conflict
71035.svs,0,,E0230-G16-P0,E0230-G16-I1,normal,ketoconazole,High,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,230,16,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71035.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71035.svs,0
32588.svs,1,,E0230-G16-P0,E0230-G16-I2,abnormal,ketoconazole,High,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,slight,Increased mitosis,Hepatocyte,slight,false,230,16,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32588.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32588.svs,0
32594.svs,1,,E0230-G16-P1,E0230-G16-I3,abnormal,ketoconazole,High,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,slight,Increased mitosis,Hepatocyte,slight,false,230,16,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32594.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32594.svs,0
32599.svs,0,,E0230-G16-P1,E0230-G16-I4,normal,ketoconazole,High,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,230,16,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32599.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32599.svs,0
71360.svs,1,,E0231-G11-P0,E0231-G11-I1,abnormal,ketoconazole,Middle,0,30,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,slight,Hypertrophy,Centrilobular,slight,false,231,11,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71360.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71360.svs,0
32904.svs,0,,E0231-G11-P0,E0231-G11-I2,normal,ketoconazole,Middle,0,30,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,231,11,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32904.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/32904.svs,0
71249.svs,1,,E0231-G11-P1,E0231-G11-I3,abnormal,ketoconazole,Middle,0,30,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,slight,"Vacuolization, cytoplasmic","Bile duct, interlobular",slight,false,231,11,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71249.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71249.svs,0
71361.svs,0,,E0231-G11-P1,E0231-G11-I4,normal,ketoconazole,Middle,0,30,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,231,11,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71361.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/ketoconazole/Liver/71361.svs,0
30821.svs,1,,E0238-G15-P0,E0238-G15-I1,abnormal,adapin,High,0,100,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,slight,"Change, eosinophilic",Centrilobular,slight,false,238,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/adapin/Liver/30821.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/adapin/Liver/30821.svs,0
30823.svs,0,,E0238-G15-P0,E0238-G15-I2,normal,adapin,High,0,100,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,238,15,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/adapin/Liver/30823.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/adapin/Liver/30823.svs,0
10646.svs,1,,E0241-G12-P0,E0241-G12-I1,abnormal,methyltestosterone,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,Increased mitosis,Hepatocyte,minimal,false,241,12,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10646.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10646.svs,0
10648.svs,1,,E0241-G12-P1,E0241-G12-I2,abnormal,methyltestosterone,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,1,1,0,minimal,Increased mitosis,Hepatocyte,minimal,false,241,12,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10648.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10648.svs,0
10650.svs,0,,E0241-G12-P0,E0241-G12-I3,normal,methyltestosterone,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,241,12,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10650.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10650.svs,0
10651.svs,0,,E0241-G12-P1,E0241-G12-I4,normal,methyltestosterone,Middle,0,100,mg/kg,24 hr,24,Single,Gavage,6,0,0,0,,,,,,241,12,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10651.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/10651.svs,0
31119.svs,1,,E0242-G15-P0,E0242-G15-I1,abnormal,methyltestosterone,High,0,300,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,slight,Hypertrophy,Hepatocyte,slight,false,242,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/31119.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/31119.svs,0
31123.svs,0,,E0242-G15-P0,E0242-G15-I3,normal,methyltestosterone,High,0,300,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,242,15,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/31123.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methyltestosterone/Liver/31123.svs,0
33009.svs,0,,E0266-G09-P0,E0266-G09-I1,normal,metformin,Middle,0,300,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,266,9,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33009.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33009.svs,0
33012.svs,1,,E0266-G09-P0,E0266-G09-I2,abnormal,metformin,Middle,0,300,mg/kg,4 day,96,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,9,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33012.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33012.svs,0
33014.svs,0,,E0266-G09-P1,E0266-G09-I3,normal,metformin,Middle,0,300,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,266,9,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33014.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33014.svs,0
33017.svs,1,,E0266-G09-P1,E0266-G09-I5,abnormal,metformin,Middle,0,300,mg/kg,4 day,96,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,9,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33017.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33017.svs,0
33062.svs,0,,E0266-G14-P0,E0266-G14-I1,normal,metformin,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,266,14,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33062.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33062.svs,0
33064.svs,1,,E0266-G14-P0,E0266-G14-I2,abnormal,metformin,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,14,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33064.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33064.svs,0
33067.svs,0,,E0266-G14-P1,E0266-G14-I3,normal,metformin,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,266,14,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33067.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33067.svs,0
33068.svs,1,,E0266-G14-P1,E0266-G14-I4,abnormal,metformin,High,0,1000,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,14,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33068.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33068.svs,0
33071.svs,0,,E0266-G15-P0,E0266-G15-I1,normal,metformin,High,0,1000,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,266,15,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33071.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33071.svs,0
33072.svs,0,,E0266-G15-P1,E0266-G15-I2,normal,metformin,High,0,1000,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,266,15,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33072.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33072.svs,0
33075.svs,1,,E0266-G15-P0,E0266-G15-I4,abnormal,metformin,High,0,1000,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,15,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33075.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33075.svs,0
33077.svs,1,,E0266-G15-P1,E0266-G15-I5,abnormal,metformin,High,0,1000,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,15,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33077.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33077.svs,0
33079.svs,1,,E0266-G16-P0,E0266-G16-I1,abnormal,metformin,High,0,1000,mg/kg,29 day,696,Repeat,Gavage,6,1,1,0,minimal,"Deposit, glycogen",Periportal,minimal,false,266,16,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33079.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33079.svs,0
33080.svs,0,,E0266-G16-P0,E0266-G16-I2,normal,metformin,High,0,1000,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,266,16,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/metformin/Liver/33080.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/metformin/Liver/33080.svs,0
33433.svs,0,,E0278-G13-P0,E0278-G13-I1,normal,methimazole,High,0,100,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,278,13,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33433.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33433.svs,0
70531.svs,1,,E0278-G13-P0,E0278-G13-I2,abnormal,methimazole,High,0,100,mg/kg,4 day,96,Repeat,Gavage,6,1,1,0,minimal,Hypertrophy,Centrilobular,minimal,false,278,13,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/70531.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/70531.svs,0
33460.svs,1,,E0278-G14-P0,E0278-G14-I1,abnormal,methimazole,High,0,100,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,Hypertrophy,Centrilobular,minimal,false,278,14,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33460.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33460.svs,0
70535.svs,0,,E0278-G14-P0,E0278-G14-I2,normal,methimazole,High,0,100,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,278,14,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/70535.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/70535.svs,0
33472.svs,1,,E0278-G14-P1,E0278-G14-I3,abnormal,methimazole,High,0,100,mg/kg,8 day,192,Repeat,Gavage,6,1,1,0,minimal,Hypertrophy,Centrilobular,minimal,false,278,14,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33472.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33472.svs,0
33479.svs,0,,E0278-G14-P1,E0278-G14-I4,normal,methimazole,High,0,100,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,278,14,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33479.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/methimazole/Liver/33479.svs,0
70550.svs,1,,E0280-G11-P0,E0280-G11-I1,abnormal,monocrotaline,Middle,0,10,mg/kg,15 day,360,Repeat,Gavage,6,1,1,0,slight,Cellular infiltration,Sinusoid,slight,false,280,11,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70550.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70550.svs,0
33925.svs,0,,E0280-G11-P0,E0280-G11-I2,normal,monocrotaline,Middle,0,10,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,280,11,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33925.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33925.svs,0
70551.svs,0,,E0280-G11-P1,E0280-G11-I3,normal,monocrotaline,Middle,0,10,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,280,11,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70551.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70551.svs,0
33945.svs,1,,E0280-G11-P1,E0280-G11-I4,abnormal,monocrotaline,Middle,0,10,mg/kg,15 day,360,Repeat,Gavage,6,5,5,0,slight,"Cellular infiltration; Change, acidophilic; Fibrosis; Fibrosis; Hemorrhage",Sinusoid; Hepatocyte; Centrilobular; Periportal; Centrilobular,slight; slight; slight; slight; slight,false; false; false; false; false,280,11,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33945.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33945.svs,0
33964.svs,0,,E0280-G12-P0,E0280-G12-I1,normal,monocrotaline,Middle,0,10,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,280,12,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33964.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33964.svs,0
70554.svs,1,,E0280-G12-P0,E0280-G12-I2,abnormal,monocrotaline,Middle,0,10,mg/kg,29 day,696,Repeat,Gavage,6,6,6,0,moderate,"Cellular infiltration; Change, acidophilic; Fibrosis; Hemorrhage; Hypertrophy; Necrosis",Sinusoid; Hepatocyte; Centrilobular; Centrilobular; Peripheral; Hepatocyte,moderate; moderate; slight; slight; moderate; slight,false; false; false; false; false; false,280,12,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70554.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70554.svs,0
33978.svs,0,,E0280-G12-P1,E0280-G12-I3,normal,monocrotaline,Middle,0,10,mg/kg,29 day,696,Repeat,Gavage,6,0,0,0,,,,,,280,12,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33978.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33978.svs,0
33986.svs,1,,E0280-G12-P1,E0280-G12-I4,abnormal,monocrotaline,Middle,0,10,mg/kg,29 day,696,Repeat,Gavage,6,5,5,0,moderate,"Cellular infiltration; Change, acidophilic; Fibrosis; Fibrosis; Hypertrophy",Sinusoid; Hepatocyte; Centrilobular; Periportal; Peripheral,slight; slight; slight; slight; moderate,false; false; false; false; false,280,12,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33986.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/33986.svs,0
70556.svs,0,,E0280-G13-P0,E0280-G13-I1,normal,monocrotaline,High,0,30,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,280,13,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70556.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70556.svs,0
34012.svs,1,,E0280-G13-P0,E0280-G13-I2,abnormal,monocrotaline,High,0,30,mg/kg,4 day,96,Repeat,Gavage,6,3,3,0,moderate,"Cellular infiltration; Change, acidophilic; Necrosis",Sinusoid; Hepatocyte; Hepatocyte,slight; moderate; slight,false; false; false,280,13,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/34012.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/34012.svs,0
70558.svs,1,,E0280-G14-P0,E0280-G14-I1,abnormal,monocrotaline,High,0,30,mg/kg,8 day,192,Repeat,Gavage,6,6,6,0,moderate,"Cellular infiltration; Change, acidophilic; Fibrosis; Fibrosis; Hemorrhage; Necrosis",Sinusoid; Hepatocyte; Periportal; Centrilobular; Centrilobular; Hepatocyte,moderate; moderate; moderate; moderate; slight; slight,false; false; false; false; false; false,280,14,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70558.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/70558.svs,0
34069.svs,0,,E0280-G14-P0,E0280-G14-I4,normal,monocrotaline,High,0,30,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,280,14,4,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/34069.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/monocrotaline/Liver/34069.svs,0
15431.svs,1,,E0282-G07-P0,E0282-G07-I1,abnormal,vitamin A,Low,0,10,mg/kg,15 day,360,Repeat,Gavage,6,2,2,0,slight,"Hypertrophy; Vacuolization, cytoplasmic",Ito cell; Ito cell,slight; slight,false; false,282,7,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15431.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15431.svs,0
70571.svs,0,,E0282-G07-P0,E0282-G07-I2,normal,vitamin A,Low,0,10,mg/kg,15 day,360,Repeat,Gavage,6,0,0,0,,,,,,282,7,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/70571.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/70571.svs,0
15500.svs,0,,E0282-G09-P0,E0282-G09-I1,normal,vitamin A,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,282,9,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15500.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15500.svs,0
15530.svs,1,,E0282-G09-P0,E0282-G09-I5,abnormal,vitamin A,Middle,0,30,mg/kg,4 day,96,Repeat,Gavage,6,2,2,0,slight,"Hypertrophy; Vacuolization, cytoplasmic",Ito cell; Ito cell,slight; slight,false; false,282,9,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15530.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15530.svs,0
15537.svs,1,,E0282-G10-P0,E0282-G10-I1,abnormal,vitamin A,Middle,0,30,mg/kg,8 day,192,Repeat,Gavage,6,2,2,0,slight,"Hypertrophy; Vacuolization, cytoplasmic",Ito cell; Ito cell,slight; slight,false; false,282,10,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15537.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15537.svs,0
15544.svs,0,,E0282-G10-P0,E0282-G10-I2,normal,vitamin A,Middle,0,30,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,282,10,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15544.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15544.svs,0
15552.svs,0,,E0282-G10-P1,E0282-G10-I3,normal,vitamin A,Middle,0,30,mg/kg,8 day,192,Repeat,Gavage,6,0,0,0,,,,,,282,10,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15552.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15552.svs,0
15568.svs,1,,E0282-G10-P1,E0282-G10-I5,abnormal,vitamin A,Middle,0,30,mg/kg,8 day,192,Repeat,Gavage,6,2,2,0,slight,"Hypertrophy; Vacuolization, cytoplasmic",Ito cell; Ito cell,slight; slight,false; false,282,10,5,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15568.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15568.svs,0
15635.svs,0,,E0282-G13-P0,E0282-G13-I1,normal,vitamin A,High,0,100,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,282,13,1,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15635.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15635.svs,0
15644.svs,1,,E0282-G13-P0,E0282-G13-I2,abnormal,vitamin A,High,0,100,mg/kg,4 day,96,Repeat,Gavage,6,2,2,0,slight,"Hypertrophy; Vacuolization, cytoplasmic",Ito cell; Ito cell,slight; slight,false; false,282,13,2,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15644.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15644.svs,0
15651.svs,0,,E0282-G13-P1,E0282-G13-I3,normal,vitamin A,High,0,100,mg/kg,4 day,96,Repeat,Gavage,6,0,0,0,,,,,,282,13,3,Liver,1/1,https://dbarchive.biosciencedbc.jp/data/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15651.svs,ftp://ftp.biosciencedbc.jp/archive/open-tggates-pathological-images/LATEST/images/vitamin_A/Liver/15651.svs,0
